state,year,target_beni_core_score,beni_rank_within_year,priority_band_within_year,split_group,model_ready_flag,source_note,source_file,source_sheet,processed_dataset_name,processed_status
Enugu,2020,0.18375922485096655,35,Lower Need,TRAIN_2018_2020,True,Common 2018-2020 UBEC public school indicators,Capstone_Stage_ML1_Model_Ready_Dataset.xlsx,Model_Ready_Core_StateYear,beni_core_scores,final_processed_score_file
Enugu,2022,0.2466415230998113,24,Medium Need,TEST_2022,True,2022 UBEC public school indicators with richer infrastructure fields,Capstone_Stage_ML1_Model_Ready_Dataset.xlsx,Model_Ready_Core_StateYear,beni_core_scores,final_processed_score_file
FCT,2018,0.21514487644267927,32,Lower Need,TRAIN_2018_2020,True,Common 2018-2020 UBEC public school indicators,Capstone_Stage_ML1_Model_Ready_Dataset.xlsx,Model_Ready_Core_StateYear,beni_core_scores,final_processed_score_file
FCT,2019,0.19220859098191284,30,Lower Need,TRAIN_2018_2020,True,Common 2018-2020 UBEC public school indicators,Capstone_Stage_ML1_Model_Ready_Dataset.xlsx,Model_Ready_Core_StateYear,beni_core_scores,final_processed_score_file
FCT,2020,0.19400097378112788,29,Lower Need,TRAIN_2018_2020,True,Common 2018-2020 UBEC public school indicators,Capstone_Stage_ML1_Model_Ready_Dataset.xlsx,Model_Ready_Core_StateYear,beni_core_scores,final_processed_score_file
FCT,2022,0.2290236937480151,27,Lower Need,TEST_2022,True,2022 UBEC public school indicators with richer infrastructure fields,Capstone_Stage_ML1_Model_Ready_Dataset.xlsx,Model_Ready_Core_StateYear,beni_core_scores,final_processed_score_file
Gombe,2018,0.3947217937534817,12,High Need,TRAIN_2018_2020,True,Common 2018-2020 UBEC public school indicators,Capstone_Stage_ML1_Model_Ready_Dataset.xlsx,Model_Ready_Core_StateYear,beni_core_scores,final_processed_score_file
Gombe,2019,0.3971267611663291,13,High Need,TRAIN_2018_2020,True,Common 2018-2020 UBEC public school indicators,Capstone_Stage_ML1_Model_Ready_Dataset.xlsx,Model_Ready_Core_StateYear,beni_core_scores,final_processed_score_file
Gombe,2020,0.4041004143863064,12,High Need,TRAIN_2018_2020,True,Common 2018-2020 UBEC public school indicators,Capstone_Stage_ML1_Model_Ready_Dataset.xlsx,Model_Ready_Core_StateYear,beni_core_scores,final_processed_score_file
Gombe,2022,0.36315436714206206,15,Medium Need,TEST_2022,True,2022 UBEC public school indicators with richer infrastructure fields,Capstone_Stage_ML1_Model_Ready_Dataset.xlsx,Model_Ready_Core_StateYear,beni_core_scores,final_processed_score_file
Imo,2018,0.5290905925048779,4,High Need,TRAIN_2018_2020,True,Common 2018-2020 UBEC public school indicators,Capstone_Stage_ML1_Model_Ready_Dataset.xlsx,Model_Ready_Core_StateYear,beni_core_scores,final_processed_score_file
Imo,2019,0.4668264257300331,8,High Need,TRAIN_2018_2020,True,Common 2018-2020 UBEC public school indicators,Capstone_Stage_ML1_Model_Ready_Dataset.xlsx,Model_Ready_Core_StateYear,beni_core_scores,final_processed_score_file
Imo,2020,0.477922840589326,7,High Need,TRAIN_2018_2020,True,Common 2018-2020 UBEC public school indicators,Capstone_Stage_ML1_Model_Ready_Dataset.xlsx,Model_Ready_Core_StateYear,beni_core_scores,final_processed_score_file
Imo,2022,0.5933318135572309,2,High Need,TEST_2022,True,2022 UBEC public school indicators with richer infrastructure fields,Capstone_Stage_ML1_Model_Ready_Dataset.xlsx,Model_Ready_Core_StateYear,beni_core_scores,final_processed_score_file
Jigawa,2018,0.3938673594440414,13,High Need,TRAIN_2018_2020,True,Common 2018-2020 UBEC public school indicators,Capstone_Stage_ML1_Model_Ready_Dataset.xlsx,Model_Ready_Core_StateYear,beni_core_scores,final_processed_score_file
Jigawa,2019,0.43551481005677345,11,High Need,TRAIN_2018_2020,True,Common 2018-2020 UBEC public school indicators,Capstone_Stage_ML1_Model_Ready_Dataset.xlsx,Model_Ready_Core_StateYear,beni_core_scores,final_processed_score_file
Jigawa,2020,0.45901547115802827,10,High Need,TRAIN_2018_2020,True,Common 2018-2020 UBEC public school indicators,Capstone_Stage_ML1_Model_Ready_Dataset.xlsx,Model_Ready_Core_StateYear,beni_core_scores,final_processed_score_file
Jigawa,2022,0.4071738761055451,13,High Need,TEST_2022,True,2022 UBEC public school indicators with richer infrastructure fields,Capstone_Stage_ML1_Model_Ready_Dataset.xlsx,Model_Ready_Core_StateYear,beni_core_scores,final_processed_score_file
Kaduna,2018,0.4799257215159544,8,High Need,TRAIN_2018_2020,True,Common 2018-2020 UBEC public school indicators,Capstone_Stage_ML1_Model_Ready_Dataset.xlsx,Model_Ready_Core_StateYear,beni_core_scores,final_processed_score_file
Kaduna,2019,0.4597884704924147,9,High Need,TRAIN_2018_2020,True,Common 2018-2020 UBEC public school indicators,Capstone_Stage_ML1_Model_Ready_Dataset.xlsx,Model_Ready_Core_StateYear,beni_core_scores,final_processed_score_file
Kaduna,2020,0.4661699408652077,9,High Need,TRAIN_2018_2020,True,Common 2018-2020 UBEC public school indicators,Capstone_Stage_ML1_Model_Ready_Dataset.xlsx,Model_Ready_Core_StateYear,beni_core_scores,final_processed_score_file
Kaduna,2022,0.4986371728304316,4,High Need,TEST_2022,True,2022 UBEC public school indicators with richer infrastructure fields,Capstone_Stage_ML1_Model_Ready_Dataset.xlsx,Model_Ready_Core_StateYear,beni_core_scores,final_processed_score_file
Kano,2018,0.42732968917273373,10,High Need,TRAIN_2018_2020,True,Common 2018-2020 UBEC public school indicators,Capstone_Stage_ML1_Model_Ready_Dataset.xlsx,Model_Ready_Core_StateYear,beni_core_scores,final_processed_score_file
Kano,2019,0.4497240868103294,10,High Need,TRAIN_2018_2020,True,Common 2018-2020 UBEC public school indicators,Capstone_Stage_ML1_Model_Ready_Dataset.xlsx,Model_Ready_Core_StateYear,beni_core_scores,final_processed_score_file
Kano,2020,0.45651764309979714,11,High Need,TRAIN_2018_2020,True,Common 2018-2020 UBEC public school indicators,Capstone_Stage_ML1_Model_Ready_Dataset.xlsx,Model_Ready_Core_StateYear,beni_core_scores,final_processed_score_file
Kano,2022,0.4765985254552489,7,High Need,TEST_2022,True,2022 UBEC public school indicators with richer infrastructure fields,Capstone_Stage_ML1_Model_Ready_Dataset.xlsx,Model_Ready_Core_StateYear,beni_core_scores,final_processed_score_file
Katsina,2018,0.541670417505997,2,High Need,TRAIN_2018_2020,True,Common 2018-2020 UBEC public school indicators,Capstone_Stage_ML1_Model_Ready_Dataset.xlsx,Model_Ready_Core_StateYear,beni_core_scores,final_processed_score_file
Katsina,2019,0.5326277472881025,3,High Need,TRAIN_2018_2020,True,Common 2018-2020 UBEC public school indicators,Capstone_Stage_ML1_Model_Ready_Dataset.xlsx,Model_Ready_Core_StateYear,beni_core_scores,final_processed_score_file
Katsina,2020,0.5387386580363295,3,High Need,TRAIN_2018_2020,True,Common 2018-2020 UBEC public school indicators,Capstone_Stage_ML1_Model_Ready_Dataset.xlsx,Model_Ready_Core_StateYear,beni_core_scores,final_processed_score_file
Katsina,2022,0.661693597847635,1,High Need,TEST_2022,True,2022 UBEC public school indicators with richer infrastructure fields,Capstone_Stage_ML1_Model_Ready_Dataset.xlsx,Model_Ready_Core_StateYear,beni_core_scores,final_processed_score_file
Kebbi,2018,0.4846117619018034,6,High Need,TRAIN_2018_2020,True,Common 2018-2020 UBEC public school indicators,Capstone_Stage_ML1_Model_Ready_Dataset.xlsx,Model_Ready_Core_StateYear,beni_core_scores,final_processed_score_file
Kebbi,2019,0.4793120949772255,7,High Need,TRAIN_2018_2020,True,Common 2018-2020 UBEC public school indicators,Capstone_Stage_ML1_Model_Ready_Dataset.xlsx,Model_Ready_Core_StateYear,beni_core_scores,final_processed_score_file
Kebbi,2020,0.4778041463084846,8,High Need,TRAIN_2018_2020,True,Common 2018-2020 UBEC public school indicators,Capstone_Stage_ML1_Model_Ready_Dataset.xlsx,Model_Ready_Core_StateYear,beni_core_scores,final_processed_score_file
