state,year,target_beni_expanded_score,beni_expanded_rank,target_beni_core_score,beni_core_rank,nbs_socioeconomic_need_proxy,school_age_basic_population,dmo_domestic_debt_stock_naira,fiscal_pressure_band,split_group,model_ready_flag,source_note,source_file,source_sheet,processed_dataset_name,processed_status
Niger,2022,0.465129150898284,16,0.42653157568007194,17,0.559825,2367798,98262195557.88,Medium,CV_ONLY_2022,True,Final 2022 expanded BENI dataset; use 5-fold or leave-one-state-out CV due N=37,Capstone_Stage_ML1_Model_Ready_Dataset.xlsx,Model_Ready_Expanded_2022,beni_expanded_scores,final_processed_score_file
Ogun,2022,0.2831089893214948,26,0.22273030264485838,31,0.506861,2036732,241782021304.96,High,CV_ONLY_2022,True,Final 2022 expanded BENI dataset; use 5-fold or leave-one-state-out CV due N=37,Capstone_Stage_ML1_Model_Ready_Dataset.xlsx,Model_Ready_Expanded_2022,beni_expanded_scores,final_processed_score_file
Ondo,2022,0.34277829769330664,24,0.34769923759618815,19,0.313571,1663525,78824638559.93,Low,CV_ONLY_2022,True,Final 2022 expanded BENI dataset; use 5-fold or leave-one-state-out CV due N=37,Capstone_Stage_ML1_Model_Ready_Dataset.xlsx,Model_Ready_Expanded_2022,beni_expanded_scores,final_processed_score_file
Osun,2022,0.23384002082242206,33,0.21923753339182808,32,0.30537,1274894,149409835462.63,High,CV_ONLY_2022,True,Final 2022 expanded BENI dataset; use 5-fold or leave-one-state-out CV due N=37,Capstone_Stage_ML1_Model_Ready_Dataset.xlsx,Model_Ready_Expanded_2022,beni_expanded_scores,final_processed_score_file
Oyo,2022,0.5123848245834745,13,0.5242413148157077,10,0.411313,2473608,160071143937.27,High,CV_ONLY_2022,True,Final 2022 expanded BENI dataset; use 5-fold or leave-one-state-out CV due N=37,Capstone_Stage_ML1_Model_Ready_Dataset.xlsx,Model_Ready_Expanded_2022,beni_expanded_scores,final_processed_score_file
Plateau,2022,0.3677203486101616,20,0.2697885563393916,23,0.70417,1471108,151903415543.09,High,CV_ONLY_2022,True,Final 2022 expanded BENI dataset; use 5-fold or leave-one-state-out CV due N=37,Capstone_Stage_ML1_Model_Ready_Dataset.xlsx,Model_Ready_Expanded_2022,beni_expanded_scores,final_processed_score_file
Rivers,2022,0.4070459394426853,18,0.40455693338508514,18,0.386965,2109699,225505011356.0,High,CV_ONLY_2022,True,Final 2022 expanded BENI dataset; use 5-fold or leave-one-state-out CV due N=37,Capstone_Stage_ML1_Model_Ready_Dataset.xlsx,Model_Ready_Expanded_2022,beni_expanded_scores,final_processed_score_file
Sokoto,2022,0.6289216614981056,4,0.5777019476738472,5,0.724193,2410947,85584818029.23,Low,CV_ONLY_2022,True,Final 2022 expanded BENI dataset; use 5-fold or leave-one-state-out CV due N=37,Capstone_Stage_ML1_Model_Ready_Dataset.xlsx,Model_Ready_Expanded_2022,beni_expanded_scores,final_processed_score_file
Taraba,2022,0.5098065591685871,14,0.45194611580453314,14,0.661959,1206243,90807647838.11,Low,CV_ONLY_2022,True,Final 2022 expanded BENI dataset; use 5-fold or leave-one-state-out CV due N=37,Capstone_Stage_ML1_Model_Ready_Dataset.xlsx,Model_Ready_Expanded_2022,beni_expanded_scores,final_processed_score_file
Yobe,2022,0.7345871356586402,2,0.724424398184496,2,0.652029,1278008,92859643611.94,Medium,CV_ONLY_2022,True,Final 2022 expanded BENI dataset; use 5-fold or leave-one-state-out CV due N=37,Capstone_Stage_ML1_Model_Ready_Dataset.xlsx,Model_Ready_Expanded_2022,beni_expanded_scores,final_processed_score_file
Zamfara,2022,0.6132712654863093,6,0.5593369904698434,6,0.722688,2219338,109692050891.29,Medium,CV_ONLY_2022,True,Final 2022 expanded BENI dataset; use 5-fold or leave-one-state-out CV due N=37,Capstone_Stage_ML1_Model_Ready_Dataset.xlsx,Model_Ready_Expanded_2022,beni_expanded_scores,final_processed_score_file
