state,year,target_beni_core_score,beni_rank_within_year,priority_band_within_year,pupil_teacher_ratio,pupil_classroom_ratio,unqualified_teacher_share,bad_classroom_share,enrolment_per_school,pupil_teacher_ratio_norm,pupil_classroom_ratio_norm,unqualified_teacher_share_norm,bad_classroom_share_norm,enrolment_per_school_norm,matching_grant_million_naira,core_indicator_completeness,split_group,model_ready_flag,source_note,processed_source_file,processed_source_sheet,processed_dataset_name,processed_status
Bayelsa,2022,0.284009180739485,21,Medium Need,21.391297262059975,30.833215879727508,0.19214471968709257,0.538642236316655,188.3170731707317,0.09007543965081574,0.11669794140190677,0.30554594779712213,0.8375685081232269,0.07015806672435358,1204.45235376,1,TEST_2022,True,2022 UBEC public school indicators with richer infrastructure fields,Capstone_Stage_ML1_Model_Ready_Dataset.xlsx,Model_Ready_Core_StateYear,beni_core_model_ready,final_model_ready
Benue,2018,0.2594343785156279,28,Lower Need,18.529801597102164,25.078718662952646,0.13126697950111138,0.5841225626740947,135.46885344568162,0.06663360484051141,0.06450723177806583,0.17609530496934603,0.963584501976077,0.026351249014139162,1473.8328392,1,TRAIN_2018_2020,True,Common 2018-2020 UBEC public school indicators,Capstone_Stage_ML1_Model_Ready_Dataset.xlsx,Model_Ready_Core_StateYear,beni_core_model_ready,final_model_ready
Benue,2019,0.2522252402736915,22,Medium Need,23.416053477044255,25.174540389972144,0.09488029847652607,0.5841225626740947,135.98645801986157,0.10666256969754195,0.06537629187873827,0.09872253727770815,0.963584501976077,0.026780300538391866,1519.86407886,1,TRAIN_2018_2020,True,Common 2018-2020 UBEC public school indicators,Capstone_Stage_ML1_Model_Ready_Dataset.xlsx,Model_Ready_Core_StateYear,beni_core_model_ready,final_model_ready
Benue,2020,0.25601872773049583,22,Medium Need,25.669701425016964,25.289303621169918,0.09432255145894594,0.5841225626740947,136.77101536607412,0.125124817802236,0.06641714292954363,0.09753654203970408,0.963584501976077,0.027430633904918723,715.07413514,1,TRAIN_2018_2020,True,Common 2018-2020 UBEC public school indicators,Capstone_Stage_ML1_Model_Ready_Dataset.xlsx,Model_Ready_Core_StateYear,beni_core_model_ready,final_model_ready
Benue,2022,0.2340571650619915,25,Medium Need,24.527340860904296,25.47833435771358,0.11015235935111681,0.5301167793484942,153.43584207279457,0.1157664154933756,0.06813156695466471,0.131197101732319,0.8139463396179047,0.04124440151169355,0.0,1,TEST_2022,True,2022 UBEC public school indicators with richer infrastructure fields,Capstone_Stage_ML1_Model_Ready_Dataset.xlsx,Model_Ready_Core_StateYear,beni_core_model_ready,final_model_ready
Borno,2018,0.4819974172321306,7,High Need,30.945400703312973,73.78552515445719,0.30270220248010365,0.5606796116504854,460.9179875947622,0.16834419866838884,0.5062561280834541,0.5406357716515194,0.8986292343100928,0.296121753447198,1473.8328452,1,TRAIN_2018_2020,True,Common 2018-2020 UBEC public school indicators,Capstone_Stage_ML1_Model_Ready_Dataset.xlsx,Model_Ready_Core_StateYear,beni_core_model_ready,final_model_ready
Borno,2019,0.49246644261251193,6,High Need,46.35014569168864,73.70818623124448,0.2684889690578604,0.5606796116504854,460.43487250172296,0.2945423585099799,0.5055546987262118,0.46788463065653835,0.8986292343100928,0.29572129085973653,1519.8840788,1,TRAIN_2018_2020,True,Common 2018-2020 UBEC public school indicators,Capstone_Stage_ML1_Model_Ready_Dataset.xlsx,Model_Ready_Core_StateYear,beni_core_model_ready,final_model_ready
Borno,2020,0.496093572927057,6,High Need,47.179886784541196,74.48113415710503,0.26864211335523097,0.5606796116504854,465.263266712612,0.30133973160132016,0.5125649898486649,0.4682102772340799,0.8986292343100928,0.29972363164112736,715.07413514,1,TRAIN_2018_2020,True,Common 2018-2020 UBEC public school indicators,Capstone_Stage_ML1_Model_Ready_Dataset.xlsx,Model_Ready_Core_StateYear,beni_core_model_ready,final_model_ready
Borno,2022,0.49572986437132477,6,High Need,48.71341429906028,80.73941160397122,0.313458262350937,0.45304672556699155,624.2521126760563,0.3139026367675396,0.5693247602805089,0.5635074955413962,0.6004021502636003,0.4315122790035785,1204.45235376,1,TEST_2022,True,2022 UBEC public school indicators with richer infrastructure fields,Capstone_Stage_ML1_Model_Ready_Dataset.xlsx,Model_Ready_Core_StateYear,beni_core_model_ready,final_model_ready
Cross River,2018,0.2042145328385616,36,Lower Need,15.769494335451782,24.12691299568783,0.2020447637468914,0.44677432992305743,117.621187139324,0.04402072177879768,0.05587478113516068,0.3265974366278357,0.5830227197666302,0.011557004884383793,1473.8328452,1,TRAIN_2018_2020,True,Common 2018-2020 UBEC public school indicators,Capstone_Stage_ML1_Model_Ready_Dataset.xlsx,Model_Ready_Core_StateYear,beni_core_model_ready,final_model_ready
