state,year,target_beni_expanded_score,target_beni_core_score,beni_expanded_rank,beni_core_rank,pupil_teacher_ratio,pupil_classroom_ratio,unqualified_teacher_share,bad_classroom_share,enrolment_per_school,nbs_socioeconomic_need_proxy,school_age_basic_population,dmo_domestic_debt_stock_naira,fiscal_pressure_band,matching_grant_2018_2022_naira,pupil_teacher_ratio_norm,pupil_classroom_ratio_norm,unqualified_teacher_share_norm,bad_classroom_share_norm,enrolment_per_school_norm,nbs_socioeconomic_need_proxy_norm,cv_fold,split_group,model_ready_flag,source_note,processed_source_file,processed_source_sheet,processed_dataset_name,processed_status
Katsina,2022,0.7809727773862591,0.7846029241207911,1,1,84.98893581081082,128.22524741961516,0.2715653153153153,0.42573163997791275,611.5897487844409,0.635673,3844428,62374809154.32,Low,5859890077.43,0.7588554444601137,1.0,0.8050242098176417,0.545190920158331,0.8139440461678693,0.7628220437135991,1,CV_ONLY_2022,True,Final 2022 expanded BENI dataset; use 5-fold or leave-one-state-out CV due N=37,Capstone_Stage_ML1_Model_Ready_Dataset.xlsx,Model_Ready_Expanded_2022,beni_expanded_2022_model_ready,final_model_ready
Kebbi,2022,0.6208063949845395,0.5449676739814474,5,8,39.293047152597715,69.86996243169399,0.3069720541630654,0.4692622950819672,322.4259259259259,0.807484,1951520,60131306074.57,Low,5859890077.43,0.2772410226568901,0.4707437298009501,0.9493675182723182,0.6705107831163246,0.3569753160607539,1.0,2,CV_ONLY_2022,True,Final 2022 expanded BENI dataset; use 5-fold or leave-one-state-out CV due N=37,Capstone_Stage_ML1_Model_Ready_Dataset.xlsx,Model_Ready_Expanded_2022,beni_expanded_2022_model_ready,final_model_ready
Kogi,2022,0.27121871059127395,0.19338515255505545,28,35,18.13769201948295,19.273855341738553,0.11464968152866242,0.48964830789648306,100.50415224913495,0.561469,1234128,90156501322.0,Low,5859870077.43,0.05427295201306284,0.01185972416950971,0.16532333743788594,0.7291998225086371,0.0062699266461816,0.6603865007723665,3,CV_ONLY_2022,True,Final 2022 expanded BENI dataset; use 5-fold or leave-one-state-out CV due N=37,Capstone_Stage_ML1_Model_Ready_Dataset.xlsx,Model_Ready_Expanded_2022,beni_expanded_2022_model_ready,final_model_ready
Kwara,2022,0.2657256429926266,0.23347478016656012,30,27,16.634483070794857,29.500602071124668,0.12348361397791055,0.5073452677209601,123.65040376850605,0.39239,1108383,109551279948.44,Medium,4655296534.98,0.03842979566070845,0.10461173165924374,0.20133679357324608,0.7801473806070682,0.04284819933253416,0.42697995712295883,4,CV_ONLY_2022,True,Final 2022 expanded BENI dataset; use 5-fold or leave-one-state-out CV due N=37,Capstone_Stage_ML1_Model_Ready_Dataset.xlsx,Model_Ready_Expanded_2022,beni_expanded_2022_model_ready,final_model_ready
Lagos,2022,0.16174238073952138,0.19409085688742564,37,34,35.416019274264926,49.82299232205852,0.10964696627003638,0.2363560904752023,286.51193317422434,0.083087,3782715,877035995031.7,High,5859748888.74,0.23637886645932987,0.2889266993260985,0.14492867542758722,0.0,0.3002200432241126,0.0,5,CV_ONLY_2022,True,Final 2022 expanded BENI dataset; use 5-fold or leave-one-state-out CV due N=37,Capstone_Stage_ML1_Model_Ready_Dataset.xlsx,Model_Ready_Expanded_2022,beni_expanded_2022_model_ready,final_model_ready
Nasarawa,2022,0.36395511677989006,0.33122610070997316,21,20,22.144674750612268,34.40593967517401,0.17567648288632698,0.5321577726218097,188.18477157360405,0.465279,901756,72627065374.64,Low,5859890076.75,0.0965047747851864,0.14910094433164656,0.41411242954404603,0.8515797931537243,0.14483256173526257,0.5276001971294746,1,CV_ONLY_2022,True,Final 2022 expanded BENI dataset; use 5-fold or leave-one-state-out CV due N=37,Capstone_Stage_ML1_Model_Ready_Dataset.xlsx,Model_Ready_Expanded_2022,beni_expanded_2022_model_ready,final_model_ready
Niger,2022,0.465129150898284,0.42653157568007194,16,17,29.44981468647362,47.65009019550485,0.2092686895471118,0.5624299156550144,223.19045444165334,0.559825,2367798,98262195557.88,Medium,4655417723.99,0.17349771331225347,0.2692194512979993,0.5510584010033471,0.9387298901898851,0.20015242259687469,0.6581170269893443,2,CV_ONLY_2022,True,Final 2022 expanded BENI dataset; use 5-fold or leave-one-state-out CV due N=37,Capstone_Stage_ML1_Model_Ready_Dataset.xlsx,Model_Ready_Expanded_2022,beni_expanded_2022_model_ready,final_model_ready
Ogun,2022,0.2831089893214948,0.22273030264485838,26,31,31.164290498516888,44.95176316334276,0.11214237871973974,0.3503553930025533,219.32525252525252,0.506861,2036732,241782021304.96,High,2993696924.0699997,0.1915675288067908,0.2447468349597365,0.1551017696088397,0.32819117782364454,0.19404420202528025,0.5850024227046772,3,CV_ONLY_2022,True,Final 2022 expanded BENI dataset; use 5-fold or leave-one-state-out CV due N=37,Capstone_Stage_ML1_Model_Ready_Dataset.xlsx,Model_Ready_Expanded_2022,beni_expanded_2022_model_ready,final_model_ready
Ondo,2022,0.34277829769330664,0.34769923759618815,24,19,36.32902857142857,42.979853975121685,0.15497142857142857,0.4907382368848026,225.36618220489189,0.313571,1663525,78824638559.93,Low,5859890077.440001,0.24600157996083008,0.22686250276351563,0.32970375089116505,0.7323376055519581,0.2035907488134719,0.3181735981788992,4,CV_ONLY_2022,True,Final 2022 expanded BENI dataset; use 5-fold or leave-one-state-out CV due N=37,Capstone_Stage_ML1_Model_Ready_Dataset.xlsx,Model_Ready_Expanded_2022,beni_expanded_2022_model_ready,final_model_ready
Osun,2022,0.23384002082242206,0.21923753339182808,33,32,23.84448865897334,27.40633004024881,0.12025467568643056,0.4411818514452982,171.39931350114418,0.30537,1274894,149409835462.63,High,5859890077.440001,0.1144200603105781,0.0856176233437249,0.18817332099836842,0.5896703422836467,0.11830632002282235,0.30685245797539196,5,CV_ONLY_2022,True,Final 2022 expanded BENI dataset; use 5-fold or leave-one-state-out CV due N=37,Capstone_Stage_ML1_Model_Ready_Dataset.xlsx,Model_Ready_Expanded_2022,beni_expanded_2022_model_ready,final_model_ready
Oyo,2022,0.5123848245834745,0.5242413148157077,13,10,77.83151527508751,91.37998723268433,0.1022870153260611,0.4523220555378232,435.2618776130749,0.411313,2473608,160071143937.27,High,4655437723.68,0.6834194029663603,0.6658300103395101,0.11492422701211223,0.6217417376454242,0.5352911961151317,0.4531023734223085,1,CV_ONLY_2022,True,Final 2022 expanded BENI dataset; use 5-fold or leave-one-state-out CV due N=37,Capstone_Stage_ML1_Model_Ready_Dataset.xlsx,Model_Ready_Expanded_2022,beni_expanded_2022_model_ready,final_model_ready
Plateau,2022,0.3677203486101616,0.2697885563393916,20,23,26.384634665998245,33.24747315224258,0.10356352090905294,0.5332701621393978,156.17433234421364,0.70417,1471108,151903415543.09,High,5859890077.440001,0.14119207386346883,0.13859417238795607,0.12012818097980771,0.8547822375361215,0.0942461169296039,0.8573793099640115,2,CV_ONLY_2022,True,Final 2022 expanded BENI dataset; use 5-fold or leave-one-state-out CV due N=37,Capstone_Stage_ML1_Model_Ready_Dataset.xlsx,Model_Ready_Expanded_2022,beni_expanded_2022_model_ready,final_model_ready
Rivers,2022,0.4070459394426853,0.40455693338508514,18,18,31.693273058498075,44.67624120220658,0.24337089265231765,0.45843637055354763,257.24315443592553,0.386965,2109699,225505011356.0,High,5859890077.440001,0.1971427706337935,0.2422479743074572,0.6900834844193973,0.6393441632928439,0.25396627427193363,0.41949096973068634,3,CV_ONLY_2022,True,Final 2022 expanded BENI dataset; use 5-fold or leave-one-state-out CV due N=37,Capstone_Stage_ML1_Model_Ready_Dataset.xlsx,Model_Ready_Expanded_2022,beni_expanded_2022_model_ready,final_model_ready
Sokoto,2022,0.6289216614981056,0.5777019476738472,4,5,44.643170466883824,73.76454969501256,0.31939196525515745,0.46264800861141014,347.9719025050779,0.724193,2410947,85584818029.23,Low,5859890077.440001,0.3336289521237729,0.5060658900710158,1.0,0.6514689958500006,0.39734590032444655,0.8850202306193979,4,CV_ONLY_2022,True,Final 2022 expanded BENI dataset; use 5-fold or leave-one-state-out CV due N=37,Capstone_Stage_ML1_Model_Ready_Dataset.xlsx,Model_Ready_Expanded_2022,beni_expanded_2022_model_ready,final_model_ready
Taraba,2022,0.5098065591685871,0.45194611580453314,14,14,30.862931749705254,48.17612977983777,0.20981616523295926,0.5779428805125758,261.4842767295597,0.661959,1206243,90807647838.11,Low,5859890077.440001,0.18839134110531425,0.27399039446859175,0.5532903052782232,0.9833899722716889,0.2606685658988474,0.7991087759888569,5,CV_ONLY_2022,True,Final 2022 expanded BENI dataset; use 5-fold or leave-one-state-out CV due N=37,Capstone_Stage_ML1_Model_Ready_Dataset.xlsx,Model_Ready_Expanded_2022,beni_expanded_2022_model_ready,final_model_ready
Yobe,2022,0.7345871356586402,0.724424398184496,2,2,72.38242748521543,93.16056542225444,0.2954097437341594,0.4441222665216866,611.4908802537668,0.652029,1278008,92859643611.94,Medium,5859840077.26,0.6259884317710434,0.6819790561646606,0.9022312330621837,0.5981354667696389,0.8137878031549535,0.785400823029361,1,CV_ONLY_2022,True,Final 2022 expanded BENI dataset; use 5-fold or leave-one-state-out CV due N=37,Capstone_Stage_ML1_Model_Ready_Dataset.xlsx,Model_Ready_Expanded_2022,beni_expanded_2022_model_ready,final_model_ready
Zamfara,2022,0.6132712654863093,0.5593369904698434,6,6,54.93853445681613,74.22677373449888,0.28077038820343064,0.4624923764992885,318.46620148277367,0.722688,2219338,109692050891.29,Medium,5859890077.440001,0.44213752742147167,0.5102580548626967,0.8425507010584876,0.6510209484931132,0.35071772051344796,0.8829426405686385,2,CV_ONLY_2022,True,Final 2022 expanded BENI dataset; use 5-fold or leave-one-state-out CV due N=37,Capstone_Stage_ML1_Model_Ready_Dataset.xlsx,Model_Ready_Expanded_2022,beni_expanded_2022_model_ready,final_model_ready
